smiles,ri,source_count,source_compound_ids
CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,1296.778898723039,1,化合物_268
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,4310.841583527166,1,化合物_147
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,1446.158388063791,1,化合物_246
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,4124.245695002418,1,化合物_247
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,2216.687896698226,1,化合物_239
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1765.996003122768,1,化合物_241
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,298.7811794312335,1,化合物_240
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,524.2611002894844,1,化合物_190
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,1149.479580174318,1,化合物_194
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,967.8211663010466,1,化合物_186
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,1157.427825566882,1,化合物_187
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1134.903267410832,1,化合物_154
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1140.26358438951,1,化合物_146
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21,1103.889295113068,1,化合物_174
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21,1666.942315173046,1,化合物_179
CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1144.305034706343,1,化合物_156
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,2280.021095364807,1,化合物_265
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,1118.428001289096,1,化合物_272
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,2833.434040385782,1,化合物_270
CN(C)CCC(c1ccccc1)c1ccccn1,1486.221840524827,1,化合物_259
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1118.428001289096,1,化合物_292
CN(C)CCN(Cc1ccccc1)c1ccccn1,992.9397838953664,1,化合物_269
CN(C)CCN(Cc1cccs1)c1ccccn1,775.8650067384611,1,化合物_263
CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,798.550074513456,1,化合物_285
CN(C)CCOC(c1ccccc1)c1ccccc1,992.9397838953664,1,化合物_274
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,1106.938476939633,1,化合物_229
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.[Cl][Sb]([Cl])[Cl],2592.965656395402,1,化合物_231
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,1465.813743295795,1,化合物_227
CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccccc12,2552.230737939383,1,化合物_176
CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,779.7777552722378,1,化合物_173
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,1283.746041660518,1,化合物_282
CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1138.740795445162,1,化合物_255
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,779.7777552722378,1,化合物_287
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,465.9273943676837,1,化合物_276
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,1148.227571452116,1,化合物_279
CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1,1150.695058159343,1,化合物_288
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,231.0343854607415,1,化合物_294
CN1CCN(C(c2ccccc2)c2ccccc2)CC1,1129.338156175674,1,化合物_284
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,1194.867383254321,1,化合物_201
CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1,1194.021732817989,1,化合物_197
CN=C(NC#N)NCCSCc1nc[nH]c1C,468.4894316170757,1,化合物_256
CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1,2290.400260525571,1,化合物_257
CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1,533.534784825838,1,化合物_208
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O,1454.303058945078,1,化合物_195
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,976.5462590063976,1,化合物_245
CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1OC(C)=O,375.075290117891,1,化合物_243
